Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000583;1 098 334;812 945;C01;1;1;1;1;1991.0;9;1;0;-1;-1; -1;-1
202200000584;1 098 328;812 940;A01;1;1;4;2;1997.0;5;1;0;-1;-1; -1;-1
202200000585;1 098 327;812 939;D01;1;1;1;1;1955.0;9;1;-1;-1;0;0;-1
202200000585;1 098 332;812 943;C01;1;1;1;2;1985.0;9;1;-1;-1;0;0;-1
202200000585;1 098 336;812 946;B01;1;1;4;2;1975.0;5;1;-1;-1;0;0;-1
202200000585;1 098 340;812 950;A01;1;1;1;1;1990.0;1;1;-1;-1;0;0;-1
202200000586;1 098 325;812 937;A01;1;1;3;1;1993.0;0;2;0;-1;0;0;-1
202200000587;1 098 324;812 936;A01;1;1;1;1;2002.0;0;1;0;-1;-1; -1;-1
202200000587;1 098 326;812 938;B01;1;1;4;2;2002.0;5;1;0;-1;0;0;-1
202200000588;1 098 318;812 933;B01;1;1;1;1;1968.0;1;1;0;-1;-1; -1;-1
202200000588;1 098 322;812 934;A01;1;1;4;1;1975.0;0;2;0;-1;-1; -1;-1
202200000589;1 098 316;812 931;B01;1;1;1;1;2003.0;5;1;8;-1;-1; -1;-1
202200000589;1 098 317;812 931;B01;2;2;1;1;1987.0;5;1;8;-1;-1; -1;-1
202200000589;1 098 319;812 931;B01;3;2;1;1;2003.0;5;1;0;-1;-1; -1;-1
202200000589;1 098 321;812 931;B01;4;2;4;2;2001.0;5;1;0;-1;-1; -1;-1
202200000590;1 098 320;812 932;B01;1;1;4;2;1969.0;1;0;-1;-1;0;0;-1
202200000590;1 098 323;812 935;A01;1;1;1;2;1995.0;1;1;-1;-1;0;0;-1
202200000591;1 098 312;812 927;B01;1;1;1;2;1986.0;0;1;0;-1;-1; -1;-1
202200000591;1 098 314;812 929;A01;1;1;4;1;1999.0;1;1;0;-1;-1; -1;-1
