Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200000091;3;287;-1;;2;2;0;1;0;500;1;; -1;1;0;1;80
202200000092;3;919;0;;2;2;0;2;37;500;1;; -1;1;0;1;80
202200000093;3;603;-1;;2;2;0;1;1;470;1;; -1;1;9;6;80
202200000094;3;7;-1;;2;2;0;1;4;300;4;; -1;2;0;1;50
202200000095;3;1508;0;;2;2;0;1;(1);(1);1;;4;2;0;1;50
202200000096;3;739;0;D;2;2;0;1;51;155;4;;6;1;0;3;50
202200000097;2;12;-1;;2;2;0;1;19;435;1;; -1;1;0;1;80
202200000098;3;0;0;A;2;2;0;2;14;800;1;; -1;1;0;1;80
202200000100;3;734;-1;;2;2;0;1;4;1005;1;; -1;1;0;1;50
202200000101;3;901;0;D;2;2;0;1;48;430;1;; -1;2;0;1;90
202200000102;2;1;0;R;2;4;0;1;4;300;1;; -1;1;0;5;90
202200000103;3;406;0;D;2;2;0;2;22;580;1;; -1;1;0;1;50
202200000104;1;4;-1;;3;4;0;1;450;200;1;; -1;1;0;1;130
202200000105;1;65;-1;;3;4;3;1;22;700;2;; -1;1;0;8;130
202200000106;3;83;0;;2;2;0;1;2;600;1;; -1;2;0;1;80
202200000107;3;1;0;P;2;2;0;1;18;565;2;; -1;1;0;8;50
202200000108;3;952;-1;;2;2;0;1;23;650;1;; -1;1;0;1;90
202200000109;2;36;-1;;2;2;0;1;42;500;1;; -1;1;0;1;80
202200000110;7;D559;0;A;3;2;0;1;3;200;1;; -1;1;9;1;50
202200000111;7;2;0;D;2;2;0;2;30;100;4;; -1;1;0;3;80
202200000113;3;468;0;;2;2;0;1;48;880;1;; -1;2;0;3;80
202200000114;3;220;0;;2;2;0;1;6;500;3;; -1;1;5;4;50
202200000115;7;1083;-1;M;3;2;0;1;13;0;1;; -1;1;0;1;50
202200000116;3;15;-1;;2;2;0;1;42;300;1;; -1;1;2;1;50
202200000117;3;918;-1;;2;2;0;2;52;0;3;; -1;1;9;3;80
202200000118;3;1;-1;;2;2;0;1;4;636;1;;6,4;1;0;1;70
202200000119;3;109;-1;;2;2;0;1;6;400;2;; -1;2;0;1;50
202200000120;3;101;0;D;3;2;0;2;15;840;1;;7;1;0;1;50
202200000121;3;938;0;;2;2;0;1;53;645;1;; -1;1;0;1;50
202200000122;3;82;-1;;2;2;0;2;29;660;1;; -1;1;0;1;80
202200000123;1;A7-Sens Marseille vers Lyon;0;;1;3;0;1;265;0;1;; -1;1;1;1;110
202200000124;7;RD383   7.640 A 11.044;0;;2;9;0;2;8;800;1;; -1;1;0;1;70
202200000125;1;A7   8.630 A 10.992;0;;3;6;0;1;9;500;1;; -1;2;0;1;70
202200000126;2;ROUTE NATIONALE 230;0;;3;8;0;1;42;799;1;; -1;1;3;1;90
202200000127;2;ROUTE NATIONALE 230;0;;1;1;0;4;39;799;3;; -1;1;3;1;50
202200000128;2;ROUTE NATIONALE 230;0;;3;6;0;1;41;749;1;; -1;2;0;1;90
202200000129;2;RN 118;0;;1;2;0;3;15;225;1;; -1;2;2;1;70
202200000130;1;AUTOROUTE A6;0;;1;3;0;1;23;799;1;; -1;1;0;1;110
202200000131;1;AUTOROUTE A6;0;;3;3;0;1;18;760;1;; -1;2;0;1;110
202200000132;2;RN 104;0;;1;3;0;1;50;900;3;; -1;2;3;8;90
202200000133;2;RN 118;0;;1;2;0;4;2;500;3;; -1;4;0;1;90
202200000134;2;RN 118;0;;3;6;0;2;0;449;3;; -1;2;9;1;90
202200000135;1;SE A14;0;;1;3;0;1;7;0;1;; -1;2;0;1;90
202200000136;1;AUTOROUTE A1;0;;3;8;0;1;9;800;1;; -1;1;1;1;90
202200000137;1;AUTOROUTE A3;0;;3;3;0;1;7;599;1;; -1;2;0;1;70
202200000138;1;A4;0;;3;8;0;1;3;599;1;; -1;1;0;1;90
202200000139;2;RN406.W;0;;3;2;0;1;1;0;1;; -1;3;0;1;90
202200000141;4;PORTE D AUTEUIL;0;;1;1;0;1;(1);(1);1;; -1;2;0;1;70
202200000142;4;PORTE MAILLOT;0;;1;4;0;1;16;0;1;; -1;2;0;1;70
202200000143;4;PORTE DE CHAMPERRET;0;;1;4;0;1;17;200;1;; -1;2;0;1;70
202200000144;4;PORTE DAUPHINE;0;;1;4;0;1;15;100;1;; -1;2;0;1;70
202200000145;4;PORTE DE CHATILLON;0;;1;3;0;1;5;900;1;; -1;1;0;1;70
202200000146;4;BOULEVARD DU MONTPARNASSE;0;;2;2;0;1;(1);(1);2;; -1;2;0;5;30
202200000147;4;BOULEVARD DE PORT ROYAL;0;;3;4;3;1;(1);(1);1;; -1;1;0;6;30
202200000148;4;RUE ORDENER;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;30
202200000149;4;AVENUE DE VILLIERS;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;30
202200000150;4;PLACE VICTOR HUGO;0;;1;3;0;1;(1);(1);2;; -1;2;0;1;30
202200000151;4;ROUTE DE SURESNES;0;;2;4;0;1;(1);(1);1;; -1;2;0;1;30
202200000152;4;AVENUE DU MAINE;0;;2;4;0;2;(1);(1);1;; -1;2;0;1;30
202200000153;4;BOULEVARD DE VAUGIRARD;0;;1;2;0;1;(1);(1);1;; -1;2;0;1;30
202200000154;4;RUE D ALESIA;0;;2;2;0;1;(1);(1);1;; -1;1;6;1;30
202200000155;4;AVENUE DE CHOISY;0;;1;2;0;1;(1);(1);1;; -1;2;6;4;30
202200000156;4;BOULEVARD DE BERCY;0;;2;2;0;1;(1);(1);1;; -1;2;1;1;30
202200000157;4;RUE RICHARD LENOIR;0;;2;2;1;1;(1);(1);1;; -1;3;0;5;30
202200000158;3;VIZENS (AVENUE DE);0;;1;1;0;1;12;150;3;; -1;1;0;1;50
202200000159;4;CEDRES (RUE DES);0;;2;2;0;3;4;0;1;; -1;1;0;1;50
202200000160;4;ERIC TABARLY;0;;1;3;0;1;0;0;2;; -1;1;0;1;50
202200000161;4;DELEBECQUE (R GERMAIN);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000162;7;LILLE RUE DE;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000163;4;DELESPAUL, Barthélémy, rue;0;;2;2;2;1;(1);(1);1;; -1;1;0;1;50
